Kogo,Gendaigo
ふるさと,古都 実家 なじみのある土地
べからず,できない はずがない してはいけない
べくもあらず,できそうでない はずがない
ほいなし,ざんねんだ
ほど,時 辺り 身分 様子
まうく,準備する
まうづ,参上する 参詣する
まかづ,退出する 出かけます
まかる,退出する 参ります
まくらぬる,涙を流す
まさなし,よくない 見苦しい 思いがけない
またのひ,翌日
まだし,まだ時期が早い
まつりごつ,政治を行う
まどふ(動詞),心が乱れる 途方に暮れる
まどふ(補助動詞),ひどく~する
まばゆし,見ていられない 恥ずかしい
まめなり,真面目だ 実用的だ
まめまめし,誠実だ
まめやかなり,まじめだ 実生活向きだ 本格的だ
まもる,見つめる
まゐらす,~し申し上げる 差し上げる 参上させる
まゐる,参上する 差し上げる 召し上がる
みそかなり,ひそかだ
むかしおぼゆ,昔の様子がしのばれる
むくつけし,不気味だ
むげなり,ひどい
むつかし,不快だ わずらわしい 気味悪い
むつかしげなり,面倒そうだ
むべなり,もっともだ
めざまし,気にくわない 意外とすばらしい
めす,お呼びになる 召し上がる
めづ,賞賛する かわいがる
めづらし,賞賛に値する
めでたし,すばらしい
めやすし,見苦しくない
もぞ もこそ,~すると困る ~すると大変だ
もてなす,振る舞う 取り扱う
ものいひさがなし,口やかましい
ものがたり,話(世間話)
ものし,不愉快だ
ものしげなり,不愉快そうだ
ものす,いる 行く 来る 食べる 書く 言う
ものもおぼえず,正気を失っている 道理をわきまえない
やう,わけ 手段
やうやう,だんだん
やがて,そのまま すぐに
やさし,優美だ けなげだ
やすからず,心穏やかでない
やすし,心が平安である
やすらふ,たたずむ ためらう
やつす,地味な格好にする
やむごとなし,捨てておけない 高貴だ 貴重だ
やをら,そっと
ゆかし,見たい 聞きたい 知りたい
ゆくりかなり,突然だ
ゆくりなし,突然だ 思いがけない
ゆめ・ゆめゆめ,まったく~ない 決して~してはいけない
ゆゆし,不吉だ たいへん すばらしい
ゆゆしげなり,不吉な感じだ
ゆゑ,理由 品格 風情
ゆゑゆゑし,風情がある
よし,縁 方法 由緒 事情 そぶり
よしなし,無益だ 無関係だ
よしよしし,由緒ありげだ
よそなり,無縁だ
よのつねなり,ありきたりだ 月並みな表現だ
よも〜じ,まさか〜ないだろう
よもすがら,一晩中
よろし,悪くない
よろづ,さまざまなこと
よ・よのなか,男女の仲
らうあり,経験を積んでいる
らうがはし,乱雑だ
らうたがる,かわいがる
らうたげなり,かわいらしい
らうたし,かわいらしい
らうらうじ,もの慣れている 気品がある
れいならず,いつもと違う
れいの,いつものように
わざ,仏事
わざと,わざわざ 特別に 本格的な
わたる,行く 来る
わづらふ,思い悩む 苦しむ
わななく,ふるえる
わびし,つらい 情けない ものさびしい
わりなし,道理に合わない 並々ではない 耐えがたい しかたがない
われか,正気を失っている
われかにもあらず,我を失い、呆然としている
われかひとか,正気を失っている
